"unique_reserve","closed_n","closed_mean","closed_sd","closed_se","open_n","open_mean","open_sd","open_se","es_ra","var","variable"
"Abrolhos",62,0.274964516129032,1.53575403459858,0.195040957435075,28,0.0169,0.13,0.0169,2.7893284351541,2.61642233912704,"reef associated"
"Apo",53,0.262183018867924,0.617241393290106,0.0847846258748035,36,0.0169,0.13,0.0169,2.74172918326029,1.74822982123269,"reef associated"
"Ashmore",27,1.33333333333333,1.44115338424578,0.277350098112615,98,0.979591836734694,2.29288272091955,0.231616131489668,0.308301359654517,0.0991737983522777,"reef associated"
"Balls Pyramid",12,5.91666666666667,2.93747985163948,0.847977391541577,12,4.91666666666667,3.3967453227875,0.980555913239984,0.185142433135596,0.0603150170275155,"reef associated"
"Bazaruto",41,0.317073170731707,0.567407454579331,0.0886141567052924,28,0.178571428571429,0.39002102778748,0.073707046115106,0.574143888498333,0.24847687924611,"reef associated"
"Bird Cay",18,1.27777777777778,2.10896003240949,0.497086646722718,32,1.21875,2.90421690072412,0.513397866134651,0.0472967147030651,0.328791098583098,"reef associated"
"Buccoo",26,0.384615384615385,0.897860705317838,0.176084971419378,21,0.380952380952381,0.920662287496912,0.200904981997419,0.00956945101615089,0.487725,"reef associated"
"Bundegi",6,0.0169,0.13,0.0169,10,0.1169,0.316227766016838,0.1,-1.934005246549,10.5936968337718,"reef associated"
"Caye Caulker",81,0.358024691358025,0.59809367943719,0.0664548532707989,80,0.1125,0.35556159892895,0.0397529952696824,1.1576487326517,0.159316291988994,"reef associated"
"Cloates",13,0.923076923076923,0.954073587443029,0.264612403083978,9,1.11111111111111,0.927960727138337,0.309320242379446,-0.185403223331363,0.159675925925926,"reef associated"
"Conception",31,1,1.211060141639,0.217512822511661,44,0.340909090909091,0.64495111832736,0.0972300394369073,1.07613943281605,0.128655497207635,"reef associated"
"Corals Rosario and San Bernardo",95,0.122163157894737,0.308520291774674,0.0316535140539811,99,0.0169,0.13,0.0169,1.97804388912805,0.664830126336425,"reef associated"
"Curacao",35,0.171428571428571,0.513678446324632,0.0868275048947193,68,0.0294117647058824,0.170213933457599,0.0206414713705158,1.7627719323548,0.749073261145254,"reef associated"
"Dutch Reserve",17,0.470588235294118,0.799816155346303,0.193983911151072,52,0.173076923076923,0.473665466715671,0.0656855818330744,1.00024733886883,0.3139547968107,"reef associated"
"East Coast",14,5,3.08843998459765,0.825420305855557,22,4.31818181818182,2.71479831113287,0.578796944694529,0.146603474191875,0.0452187148032023,"reef associated"
"Easter",10,0.3169,0.483045891539648,0.152752523165195,19,0.0169,0.13,0.0169,2.93127264476785,3.34663906438103,"reef associated"
"Exuma Cays",29,1.75862068965517,1.70409532793782,0.316442558207348,64,1.625,1.16155342072862,0.145194177591077,0.079021986956151,0.0403611264670621,"reef associated"
"Fernando",31,1.35483870967742,1.6441489611503,0.295297870744408,24,0.583333333333333,0.829702233998107,0.169362259311888,0.842678914530909,0.131800256334418,"reef associated"
