"","X.Intercept.","s.log_Grav_Total_plus_min..k...3..bs....cr..","s.sqrt_live_coral..k...3..bs....cr..","s.log_depth..k...3..bs....cr..","s.HDI..k...3..bs....cr..","s.Voice_Accountability..k...3..bs....cr..","s.substrate_relief_mean..k...3..bs....cr..","s.visibility..k...3..bs....cr..","mixed_management","family","df","logLik","AICc","delta","weight"
"48",-1.13186724531333,NA,"+",NA,NA,"+",NA,"+",NA,"Negative Binomial(0.801,log)",7,-7986.73316210898,15989.2210949162,660.768539070559,2.18296339691578e-144
"43",-1.13101741914985,NA,"+","+",NA,"+",NA,NA,NA,"Negative Binomial(0.813,log)",6,-7989.56396950002,15993.0507881041,664.59823225853,3.2169117294587e-145
"28",-1.12904905624002,NA,NA,NA,NA,"+","+",NA,NA,"Negative Binomial(0.801,log)",5,-7997.57805899022,16007.0565144988,678.603958653199,2.92505677500138e-148
"17",-1.12643783834205,NA,"+",NA,NA,"+",NA,NA,NA,"Negative Binomial(0.805,log)",5,-8001.85472671845,16015.6002238687,687.147668023141,4.08217278402907e-150
"54",-1.1255114478939,NA,NA,"+",NA,"+",NA,"+",NA,"Negative Binomial(0.789,log)",6,-8002.59151807794,16019.0500560038,690.597500158241,7.27394232212623e-151
"29",-1.12345127195502,NA,NA,NA,NA,"+",NA,"+",NA,"Negative Binomial(0.782,log)",5,-8008.74338115046,16027.4949810903,699.042425244674,1.06654128294687e-152
"21",-1.11863506354508,NA,NA,"+",NA,"+",NA,NA,NA,"Negative Binomial(0.792,log)",5,-8022.12411495112,16056.0856515662,727.63309572061,6.60073746546021e-159
"6",-1.11420600102771,NA,NA,NA,NA,"+",NA,NA,NA,"Negative Binomial(0.781,log)",3,-8033.47828351636,16074.9196375096,746.467081663957,5.36839392159092e-163
"70",-1.09149203791841,NA,"+","+","+",NA,NA,"+",NA,"Negative Binomial(0.746,log)",7,-8075.52810517134,16167.0627837795,838.610227933901,5.2627700057211e-183
"42",-1.0906716505557,NA,"+","+","+",NA,NA,NA,NA,"Negative Binomial(0.749,log)",6,-8077.88437757974,16169.7678146183,841.315258772656,1.36089433898218e-183
"46",-1.08932794993272,NA,"+",NA,"+",NA,NA,"+",NA,"Negative Binomial(0.741,log)",7,-8081.78451850134,16177.5840076998,849.131451854215,2.73249669355514e-185
"75",-1.09032360337482,NA,NA,"+","+",NA,"+","+",NA,"Negative Binomial(0.739,log)",8,-8080.54313093545,16178.3902211234,849.93766527775,1.82596573923608e-185
"50",-1.08904258395563,NA,NA,"+","+",NA,"+",NA,NA,"Negative Binomial(0.741,log)",7,-8084.1932068498,16183.5983572818,855.145801436183,1.35070412835226e-186
"16",-1.08769754653913,NA,"+",NA,"+",NA,NA,NA,NA,"Negative Binomial(0.743,log)",5,-8086.17055332202,16184.3322430755,855.879687229875,9.35834285287285e-187
"58",-1.08785022615385,NA,NA,NA,"+",NA,"+","+",NA,"Negative Binomial(0.733,log)",7,-8087.28775411309,16188.5974162514,860.144860405824,1.10924726007884e-187
"25",-1.08552760057309,NA,NA,NA,"+",NA,"+",NA,NA,"Negative Binomial(0.734,log)",5,-8093.26056275239,16198.5254258586,870.072870012969,7.74797963109425e-190
