"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-2.02915290337582,0.0909869994451015,-2.2071261047259,-1.86034672813881
"mixed_managementEffective_FM",0.565374191394347,0.0649884309149013,0.437437738151623,0.692488375299382
"mixed_managementMR&Effective_FM_Closed",1.53781316261925,0.056039584320678,1.42391964081639,1.65010849413949
"mixed_managementMR&Effective_FM_Open",0.62304472351579,0.066434378525296,0.495948511172078,0.753991266909697
"mixed_managementMR&Ineffective_FM_Closed",0.887702119427131,0.0754645733467192,0.746871646901922,1.04062395873989
"mixed_managementMR&Ineffective_FM_Open",-0.306861755481392,0.0874471580826581,-0.479454804166194,-0.131423624001632
"visibility",0.046619298326022,0.00954028966911459,0.0275144138781636,0.0657837517645133
