Group,Gravity,Size,Age,Depth,Benthic Relief,Live Coral,Distinctiveness,Shark Sanctuary,Compliance,Location
All Sharks,0.977,0.472,0.107,0.121,0.071,0.107,0.61,0.164,0,0
Reef Associated,0.985,0.386,0.119,0.112,0.083,0.094,0.631,0.19,0,0
