"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","log_Grav_Total_Plus_min","log_mpa_area","sqrt_mpa_age","Average.of.substrate_relief_mean","sqrt_live_coral","sqrt_Average.of.depth","mpa_isolation","mpa_compliance","Shark_Sanctuary","location_name"
"reef associated.Average.of.substrate_relief_mean+log_Grav_Total_Plus_min+sqrt_Average.of.depth","Average.of.substrate_relief_mean+log_Grav_Total_Plus_min+sqrt_Average.of.depth",204.552626675704,215.832972403448,0.0088,NA,4.75,0,6.269,7.49,0.01,0.005,1,0,0,1,0,1,0,0,0,0
"reef associated.Average.of.substrate_relief_mean+log_Grav_Total_Plus_min+sqrt_mpa_age","Average.of.substrate_relief_mean+log_Grav_Total_Plus_min+sqrt_mpa_age",204.753586187666,216.012081110873,0.01531,NA,4.74,0,6.47,7.669,0.009,0.004,1,0,1,1,0,0,0,0,0,0
"reef associated.log_Grav_Total_Plus_min+sqrt_Average.of.depth+sqrt_mpa_age","log_Grav_Total_Plus_min+sqrt_Average.of.depth+sqrt_mpa_age",206.741594815739,216.689868526142,0.00013,NA,4,0,8.458,8.347,0.003,0.003,1,0,1,0,0,1,0,0,0,0
"reef associated.log_Grav_Total_Plus_min+sqrt_Average.of.depth+sqrt_live_coral","log_Grav_Total_Plus_min+sqrt_Average.of.depth+sqrt_live_coral",206.74421498856,216.692488698895,0.00038,NA,4,0,8.46,8.35,0.003,0.003,1,0,0,0,1,1,0,0,0,0
"reef associated.log_Grav_Total_Plus_min+sqrt_live_coral+sqrt_mpa_age","log_Grav_Total_Plus_min+sqrt_live_coral+sqrt_mpa_age",206.767520345316,216.715794055652,2e-04,NA,4,0,8.484,8.373,0.003,0.003,1,0,1,0,1,0,0,0,0,0
"reef associated.log_mpa_area+Shark_Sanctuary+sqrt_mpa_age","log_mpa_area+Shark_Sanctuary+sqrt_mpa_age",208.92940760133,220.281411666811,0.07346,NA,4.79,0,10.646,11.939,0.001,0.001,0,1,1,0,0,0,0,0,1,0
"reef associated.Shark_Sanctuary+sqrt_live_coral+sqrt_mpa_age","Shark_Sanctuary+sqrt_live_coral+sqrt_mpa_age",209.110755683443,219.059029393734,0.0382,NA,4,0,10.827,10.716,0.001,0.001,0,0,1,0,1,0,0,0,1,0
"reef associated.Shark_Sanctuary+sqrt_mpa_age","Shark_Sanctuary+sqrt_mpa_age",209.50811250677,217.610993770067,0.06537,NA,3,0,11.224,9.268,0.001,0.002,0,0,1,0,0,0,0,0,1,0
"reef associated.Average.of.substrate_relief_mean+Shark_Sanctuary+sqrt_mpa_age","Average.of.substrate_relief_mean+Shark_Sanctuary+sqrt_mpa_age",209.765613276771,219.713886987407,0.05707,NA,4,0,11.482,11.371,0.001,0.001,0,0,1,1,0,0,0,0,1,0
"reef associated.null","null",210.24458947454,214.433422768117,0,NA,1,0,11.961,6.091,0.001,0.009,0,0,0,0,0,0,0,0,0,0
