unique_id,unique_reserve,protection_status,depth,visibility,relief_mean,biotic_reef,,,,,,,,,,,
FP_2018_BR_01_ABPP_110,Abrolhos,open,7.2,3,0,0,,,,,,,,,,,
FP_2018_BR_01_ABPP_092,Abrolhos,open,7.7,3,2.7778,0,,,,,,,,,,,
FP_2018_BR_01_ABPP_109,Abrolhos,open,7.9,3,2.8125,0,,,,,,,,,,,
FP_2018_BR_01_ABPP_087,Abrolhos,open,8,7,3.8889,0,,,,,,,,,,,
FP_2018_BR_01_ABPP_088,Abrolhos,open,8,5,4,0,,,,,,,,,,,
FP_2018_BR_01_ABPP_105,Abrolhos,open,8.2,5,0.9412,0,,,,,,,,,,,
FP_2018_BR_01_ABPP_097,Abrolhos,open,9.3,5,4,0,,,,,,,,,,,
FP_2018_BR_01_ABPP_112,Abrolhos,open,10,5,0,0,,,,,,,,,,,
FP_2018_BR_01_ABPP_106,Abrolhos,open,10.9,5,0,0,,,,,,,,,,,
FP_2018_BR_01_ABPP_103,Abrolhos,open,12.6,5,3.0909,0,,,,,,,,,,,
FP_2018_BR_01_ABPP_107,Abrolhos,open,12.8,3,NA,NA,,,,,,,,,,,
FP_2018_BR_01_ABPP_108,Abrolhos,open,13.1,3,0,0,,,,,,,,,,,
FP_2018_BR_01_ABPP_111,Abrolhos,open,14.5,5,1,0,,,,,,,,,,,
FP_2018_BR_01_ABPP_095,Abrolhos,open,15,5,NA,NA,,,,,,,,,,,
FP_2018_BR_01_ABPP_104,Abrolhos,open,18,5,1,0,,,,,,,,,,,
FP_2018_BR_01_ABPP_084,Abrolhos,open,18.6,3,1,0,,,,,,,,,,,
FP_2018_BR_01_ABPP_085,Abrolhos,open,19.6,3,0,0,,,,,,,,,,,
FP_2018_BR_01_ABPP_083,Abrolhos,open,20,3,0,0,,,,,,,,,,,
FP_2018_BR_01_ABPP_086,Abrolhos,open,20,5,0,0,,,,,,,,,,,
FP_2018_BR_01_ABPP_102,Abrolhos,open,20,3,0,0,,,,,,,,,,,
FP_2018_BR_01_ABPP_098,Abrolhos,open,20.5,3,1,0,,,,,,,,,,,
FP_2018_BR_01_ABPP_099,Abrolhos,open,20.7,3,1,0,,,,,,,,,,,
FP_2018_BR_01_ABPP_082,Abrolhos,open,21,3,1,0,,,,,,,,,,,
FP_2018_BR_01_ABPP_101,Abrolhos,open,23.8,3,1,0,,,,,,,,,,,
FP_2018_BR_01_ABPP_100,Abrolhos,open,24.2,5,0,0,,,,,,,,,,,
FP_2016_PH_01_MIAP_016,Apo,closed,0.7,10,0.2,0,,,,,,,,,,,
FP_2016_PH_01_MIAP_017,Apo,closed,0.7,10,0,0,,,,,,,,,,,
FP_2016_PH_01_MIAP_022,Apo,closed,0.7,10,0,0,,,,,,,,,,,
FP_2016_PH_01_MIAP_015,Apo,closed,1,3,0,0,,,,,,,,,,,
FP_2016_PH_01_MIAP_028,Apo,closed,1,3,0,0,,,,,,,,,,,
FP_2016_PH_01_MIAP_003,Apo,closed,3,7,0,0,,,,,,,,,,,
FP_2016_PH_01_MIAP_004,Apo,closed,3,9,0.1818,0,,,,,,,,,,,
FP_2016_PH_01_MIAP_005,Apo,closed,3,9,0,0,,,,,,,,,,,
FP_2016_PH_01_MIAP_001,Apo,closed,5,7,0.3,0,,,,,,,,,,,
FP_2016_PH_01_MIAP_002,Apo,closed,5,7,0,0,,,,,,,,,,,
FP_2016_PH_01_MIAP_013,Apo,closed,5,10,1.75,100,,,,,,,,,,,
FP_2016_PH_01_MIAP_042,Apo,closed,5,9,1.3,100,,,,,,,,,,,
FP_2016_PH_01_MIAP_008,Apo,closed,6,9,0,0,,,,,,,,,,,
FP_2016_PH_01_MIAP_010,Apo,closed,6,7,0,0,,,,,,,,,,,
FP_2016_PH_01_MIAP_018,Apo,closed,7,7,1.8947,0,,,,,,,,,,,
FP_2016_PH_01_MIAP_020,Apo,closed,7,10,2,100,,,,,,,,,,,
