"","effect","median","lw","up"
"1","i",2.21175905768427,1.72410516393602,2.73978918522109
"2","ii",0.67101059868422,0.343798481007306,1.03229193214328
"3","iii",2.78419473525611,2.34348441014204,3.25554790869863
