unique_reserve,fpa_n,fpa_mean,fpa_sd,fpa_se,open_n,open_mean,open_sd,open_se,es,var,variable
Southern Montebellos,29,0.586206897,0.945562621,0.175586571,29,0.724137931,0.882227365,0.163825509,-0.211309094,0.140900618,sharks
SR-18-2007,15,0.2,0.414039336,0.106904497,14,0.428571429,0.513552591,0.137252703,-0.762140052,0.388278388,sharks
St Maarten,36,0.388888889,0.802772972,0.133795495,42,0.142857143,0.354168802,0.054649433,1.00144854,0.26470881,sharks
Sunday Island,4,1,0.816496581,0.40824829,5,0.2,0.447213595,0.2,1.609437912,1.166666667,sharks
Tanikely,42,0.095238095,0.370202569,0.057123497,50,0.16,0.37032804,0.052372294,-0.518793793,0.466898955,sharks
Techobanine,8,0.125,0.353553391,0.125,50,0.82,1.599617301,0.226220048,-1.880990603,1.07610873,sharks
Tetaiuo,11,3.181818182,3.400534717,1.025299795,30,1.566666667,2.223438365,0.405942449,0.708502569,0.170975868,sharks
Tiahura,7,3.857142857,3.236694375,1.223355484,36,4.027777778,4.053119512,0.675519919,-0.043288087,0.12872284,sharks
Tubbataha,89,1.112359551,1.612720755,0.170948058,59,0.016949153,0.130188911,0.016949153,4.184020924,1.02361772,sharks
Wallabi Group,9,0.444444444,0.726483157,0.242161052,14,0.142857143,0.36313652,0.097052317,1.134979933,0.758413462,sharks
Winderabandi,6,0.5,0.547722558,0.223606798,4,0.75,0.957427108,0.478713554,-0.405465108,0.607407407,sharks
