unique_reserve,mpa_area,mpa_year_founded,mpa_isolation,mpa_compliance,Average of set_latitude,Average of set_longitude,Min of set_date,mpa_age,region_name,location_name,site,location_id,trip_year,PI,Average of depth,Average of visibility,Average of substrate_relief_mean,Average of set_productivity_2017ave,Average of hard_coral,Average of unconsolidated,Average of macroalgae,Average of soft_coral,Average of consolidated,Average of local_population_2010,Average of local_population_2015,Average of population_proporationaldifference_2010.15,Live_Coral,Shark_Protection_Status,Shark_fishing_restrictions,Shark_fishing_restrictions_cat,Shark_gears,Average of set_productivity_2017ave,Average of local_population_2010,Average of local_population_2015,Average of population_proporationaldifference_2010.15,Average of Grav_NC,Average of Grav_Total,Average of Grav_Cities,Average of Grav_NP,trip_id,Fisheries_Management
Pelican,108.64,2005,continuous,high,-23.37093846,113.7720538,22/08/2015,10.64383562,Indian Ocean,Australia-Indian Ocean,Ningaloo,85,2015,Harvey,10.16315789,7.052631579,2.451131579,0.354403828,7.789473684,5.263157895,18.94736842,0,67.78947368,662.9689426,663.0233668,8.18E-05,7.789473684,Restricted,Size; Bag; Entrants; Species; Gear,Extensive,Hook & Line,0.354479546,665.7303586,665.7852788,0.000082175,0.161479836,0,0,0.002952941,LH_2015_AU-I_06,Effective
Pelsaert,13.72,1994,continuous,high,-28.855922,114.010711,18/05/2015,21.3890411,Indian Ocean,Australia-Indian Ocean,Abrolhos,85,2015,Harvey,14.48,4.842105263,2.234765789,0.332954546,43.73684211,10.97368421,35.63157895,0,7.921052632,66919.76454,66926.4416,9.98E-05,43.73684211,Restricted,Size; Bag; Entrants; Species; Gear,Extensive,Hook & Line,0.332954546,66919.76454,66926.4416,9.98E-05,3.807781507,4,3.882308246,5.35E-05,LH_2015_AU-I_01,Effective
South Monte,280,2007,continuous,high,-20.48267886,115.5193943,29/10/2014,7.830136986,Indian Ocean,Australia-Indian Ocean,Montebellos,85,2014,Harvey,9.978082192,3.281690141,1.678453521,1.111130303,4.788732394,22.12676056,44.81690141,8.295774648,17.83098592,31890.42298,31896.0576,0.000176644,13.08450704,Restricted,Size; Bag; Entrants; Species; Gear,Extensive,Hook & Line,1.111130303,31900.01289,31905.6504,0.000176686,0.093196165,0,0,0.00182401,LH_2014_AU-I_04,Effective
South Muiron,19.29,2005,>20km to next reef,high,-21.66727245,114.3338325,14/05/2014,9.369863014,Indian Ocean,Australia-Indian Ocean,Ningaloo,85,2014,Harvey,9.657142857,4.161290323,1.873,0.359888961,3,19.51612903,6.451612903,37.09677419,33.74193548,4982.790788,4983.103566,0.00006276,40.09677419,Restricted,Size; Bag; Entrants; Species; Gear,Extensive,Hook & Line,0.359712627,4983.776031,4984.089362,6.29E-05,0.115145161,0.222222222,0,0.000469894,LH_2014_AU-I_02,Effective
Sunday Island,19.29,2005,>20km to next reef,high,-21.70238746,114.4242776,13/05/2014,9.367123288,Indian Ocean,Australia-Indian Ocean,Ningaloo,85,2014,Harvey,9.54,2.5,1.4592875,0.359095455,0,39.75,0,0,59.25,5220.136825,5220.511567,7.12E-05,0,Restricted,Size; Bag; Entrants; Species; Gear,Extensive,Hook & Line,0.359095455,5234.450645,5234.829377,7.17E-05,0.116441053,0,0,0.000349569,LH_2014_AU-I_02,Effective
Wallabi,27.44,1994,continuous,high,-28.469923,113.778878,13/05/2015,21.37534247,Indian Ocean,Australia-Indian Ocean,Abrolhos,85,2015,Harvey,14.95365854,4.052631579,1.979444737,0.370633333,22.47368421,20.02631579,31.42105263,0,25.81578947,63274.00811,63279.39172,8.51E-05,22.47368421,Restricted,Size; Bag; Entrants; Species; Gear,Extensive,Hook & Line,0.370633333,63302.09609,63307.48062,8.51E-05,3.018654633,3,3.078012245,8.81E-05,LH_2015_AU-I_01,Effective
Winderabandi,55.26,2005,continuous,high,-22.45191667,113.7074667,19/08/2015,10.63561644,Indian Ocean,Australia-Indian Ocean,Ningaloo,85,2015,Harvey,9.518181818,8.9,3.49548,0.25005124,40.8,7,1,0,50.6,4248.160522,4248.178066,4.13E-06,40.8,Restricted,Size; Bag; Entrants; Species; Gear,Extensive,Hook & Line,0.251538182,4246.864057,4246.881134,0.000004018,0.132740784,1.9,0,0.613658535,LH_2015_AU-I_06,Effective
Balls Pyramid,856.5,2004,<20km to next reef,high,-31.79475968,159.2624991,27/04/2013,9.326027397,Pacific,Australia-Pacific,Lord Howe,73,2013,Heupel,34.259375,10,1.824028125,0.181074545,9.34375,24.1875,1.46875,12.4375,51.1875,499.7960972,499.9230837,0.000254077,21.78125,Restricted,Gear; Species; Bag,Moderate,Hook & Line,0.181074545,499.7960972,499.9230837,0.000254077,0.107324457,0,0,0.031271439,HE_2013_AU-P_01,Effective
East Coast,226.7,2004,<20km to next reef,high,-31.55057635,159.1752656,22/04/2013,9.312328767,Pacific,Australia-Pacific,Lord Howe,73,2013,Heupel,32.76862745,9.882352941,1.53457451,0.174988779,1.529411765,15.15686275,13.03921569,2.529411765,65.49019608,499.7960972,499.9230837,0.000254077,4.058823529,Restricted,Gear; Bag; Species,Moderate,Hook & Line,0.175003182,499.7960972,499.9230837,0.000254077,0.107033873,0,0,0.024079049,HE_2013_AU-P_01,Effective
MNP-11-1004,31769.3,2004,<20km to next reef,high,-12.29227635,143.8665837,15/11/2016,12.88219178,Pacific,Australia-Pacific,North GBR,73,2016,Heupel,17.75355556,6,2.086124176,0.264561667,31.97560976,21.18292683,4.481707317,10.54878049,29.65853659,1201.694944,1201.879333,0.000104476,0,Restricted,Species; Bag; Entrants; Gear; Area,Extensive,Hook & Line,0.264624357,1151.885015,1152.046836,0.000101582,0.010384728,0,0.140351594,8.06E-05,FP_2016_AU-P_04,Effective
