unique_reserve,mpa_area,mpa_year_founded,mpa_isolation,mpa_compliance,Average of set_latitude,Average of set_longitude,Min of set_date,mpa_age,region_name,location_name,site,location_id,trip_year,PI,Average of depth,Average of visibility,Average of substrate_relief_mean,Average of set_productivity_2017ave,Average of hard_coral,Average of unconsolidated,Average of macroalgae,Average of soft_coral,Average of consolidated,Average of local_population_2010,Average of local_population_2015,Average of population_proporationaldifference_2010.15,Live_Coral,Shark_Protection_Status,Shark_fishing_restrictions,Shark_fishing_restrictions_cat,Shark_gears,Average of set_productivity_2017ave,Average of local_population_2010,Average of local_population_2015,Average of population_proporationaldifference_2010.15,Average of Grav_NC,Average of Grav_Total,Average of Grav_Cities,Average of Grav_NP,trip_id,Fisheries_Management
Namuri,4.25,2005,continuous,low,-16.943215,179.06118,21/05/2016,11.39178082,Pacific,Fiji,Kubulau,68,2016,Harvey,13.69230769,8.8,3.27986,0.344613007,44.6,0,0,0,53.2,299210.8839,299207.5383,-3.48E-05,44.6,Closed,Area; Entrants; Species,Moderate,Hook & Line; Drumline; Longline; Gillnet,0.347298637,298492.1252,298452.0619,-0.000156045,0.505344782,10,0.505344782,0.041539418,FP_2016_FJ_02,Effective
Nasue,8.14,2005,continuous,low,-16.85529318,179.0954268,21/05/2016,11.39178082,Pacific,Fiji,Kubulau,68,2016,Harvey,16.79310345,6,2.4954,0.317201065,36.23076923,28.80769231,0,0,30.65384615,265623.516,264173.6224,-0.005526333,37.36,Closed,Area; Entrants; Species,Moderate,Hook & Line; Drumline; Longline; Gillnet,0.316109527,266026.6239,264589.2172,-0.005466417,0.457566294,10.64,0.457566294,0.177500086,FP_2016_FJ_02,Effective
Tetaiuo,1.08,2007,continuous,high,-17.53082857,-149.9199411,18/11/2016,9.887671233,Pacific,French Polynesia,Moorea,92,2016,Heithaus,16.625,10,4.014987324,0.054785606,83.16901408,0,0,0,16.53521127,285122.4938,303873.8044,0.065765797,83.16901408,Closed,Area,Extensive,Trap; Longline; Hook & Line,0.054785606,285110.5301,303860.7409,0.065764699,3.537386672,36.24,3.537386672,0.110519444,FP_2016_PF_01,Effective
Tiahura,3.1,2007,continuous,medium,-17.48301313,-149.90264,16/11/2016,9.882191781,Pacific,French Polynesia,Moorea,92,2016,Heithaus,13.55140187,9.5,3.877837097,0.054785606,81.56451613,4,0,0,13.62903226,285928.3281,304734.2066,0.065771319,81.56451613,Closed,Area,Extensive,Trap; Longline; Hook & Line,0.054785606,285992.702,304802.7079,0.065770948,4.581214809,60.15873016,4.581214809,0.73322253,FP_2016_PF_01,Effective
Petit Terre,10,1998,>20km to next reef,high,16.19340197,-61.1313828,8/04/2016,18.27945205,Western Atlantic,French West Indies,Petit Terre,79,2016,Heithaus,12.89111111,8.62295082,2.660498361,0.135813515,3.37704918,18.59016393,23.19672131,17.03278689,36.16393443,686358.319,707287.927,0.030284383,20.40983607,Restricted,Gear; Species; Bag,Moderate,Longline; Gillnet; Spear; Hook & Line; Seine; Trap,0.135857356,686699.8862,707675.1141,0.030335699,1.230622792,124.6516854,2.583068929,3.158983003,FP_2016_FR_01,Effective
Gili Matra,3,2007,<20km to next reef,low,-8.342193976,116.0305355,8/09/2016,9.693150685,Coral Triangle,Indonesia,Gili Matra,93,2016,Heithaus,8.382352941,7.586666667,0.901792,0.188713957,23.24,18.16,0,2.32,55.93333333,507679.2129,594072.6921,0.340410759,25.56,Restricted,Gear,Limited,Spear; Hook & Line; Seine; Trap,0.185781969,440088.4207,520035.0799,0.341946984,47.73145179,282.4900662,57.30594494,0.726227255,FP_2017_ID_03,Ineffective
Kapoposang 1,100,2009,<20km to next reef,low,-4.713769445,118.9408889,6/04/2016,7.265753425,Coral Triangle,Indonesia,Kapoposang,93,2016,Simpfendorfer,16.3,8.8,1.405451899,0.776688031,20.10126582,34.02531646,0,8.898734177,33.78481013,7006626.598,7567247.483,0.080032144,29,Restricted,Area,Limited,Spear; Hook & Line,0.776688031,7001054.81,7561412.073,0.080058444,7.003126091,101.78125,7.811969055,0.000340359,FP_2016_ID_01,None
Kapoposang 2,100,2009,<20km to next reef,low,-4.653546297,119.1305241,11/04/2016,7.279452055,Coral Triangle,Indonesia,Kapoposang,93,2016,Simpfendorfer,15.01027397,8.661971831,1.480887943,0.698257746,29.63120567,34.33333333,1.425531915,5.602836879,25.46099291,6930028.471,7482480.685,0.07971176,35.23404255,Restricted,Area,Limited,Spear; Hook & Line,0.695034865,6925621.141,7477662.589,0.079703135,7.787076426,116.6507937,8.919293153,0.000276117,FP_2016_ID_01,None
Kisite,28,1973,<20km to next reef,high,-4.722915455,39.34794286,1/12/2017,44.94520548,Indian Ocean,Kenya,Kisite,107,2017,Meekan,18.37560976,8.9,1.5901475,0.218191919,8.525,37.975,25.675,5.825,14,5467960.301,6118989.504,0.119062439,14.35,Restricted,Gear; Species,Moderate,Hook & Line,0.218191919,5468625.591,6119738.72,0.119063299,61.39868443,289.4358974,109.0032416,0.032033888,FP_2017_KE_01,Ineffective
Tanikely,1.01,2010,<20km to next reef,high,-13.48293178,48.23497209,19/05/2016,6.383561644,Indian Ocean,Madagascar,Tanikely,97,2016,Heithaus,18.28924731,7.674418605,2.260446512,0.126477273,11.11627907,61.79069767,0,6.418604651,18.88372093,892413.8076,1115302.503,0.250094596,8,Restricted,Gear,Limited,Spear; Hook & Line; Seine; Trap,0.126477273,855228.8034,1070729.76,0.252211372,0.703512628,59.68253968,1.214783319,0.306392647,FP_2016_MG_01,Ineffective
Bazaruto,1430,2001,continuous,low,-21.53956912,35.49372786,12/08/2016,15.62191781,Indian Ocean,Mozambique,Bazaruto,69,2016,Meekan,16.12380952,9.855421687,1.506359036,0.21050818,15.13253012,32.42168675,5.879518072,0.638554217,41.57831325,380350.4541,412790.9038,0.08539146,15.77108434,Restricted,Species,Limited,Hook & Line; Seine,0.210909662,380263.803,412665.8025,0.085315874,0.504029729,26.98550725,4.614949248,0.00139151,FP_2016_MZ_01,Ineffective
Apo,34,2007,<20km to next reef,medium,12.67387734,120.4580086,16/01/2016,9.046575342,Coral Triangle,Philippines,Apo,74,2016,Simpfendorfer,17.53263158,6.936842105,0.931065263,0.178489481,19.36842105,38.21052632,1.042105263,3.736842105,37.34736842,2177680.737,2441516.48,0.122067971,23.10526316,Restricted,Species,Limited,Hook & Line; Longline; Drumline; Gillnet; Spear; Trap,0.178551116,2180889.977,2444842.348,0.121948052,48.07530156,248.032967,60.49660375,0.217628828,FP_2016_PH_01,Ineffective
Tubbataha,970.3,1988,>20km to next reef,high,8.787675506,119.7944075,15/04/2016,28.30684932,Coral Triangle,Philippines,Tubbataha,74,2016,Simpfendorfer,13.66201117,8.545977011,1.729392442,0.177971199,29.82758621,29.83908046,1.408045977,8.166666667,26.67816092,456398.0629,481638.3008,0.098346686,37.99425287,Restricted,Species,Limited,Hook & Line; Longline; Drumline; Gillnet; Spear; Trap,0.180171452,531041.192,558752.4434,0.09201328,0.3031365,39.81756757,0,0.653416826,FP_2016_PH_01,Ineffective
iSimangaliso,80,1998,continuous,medium,-27.78474575,32.62824574,9/11/2016,18.86849315,Indian Ocean,South Africa,iSimangaliso,106,2016,Meekan,29.2044586,9.051282051,1.844982051,0.168731036,10.90384615,44.1025641,6.185897436,2.608974359,34.33974359,1838833.634,1878440.209,0.021500327,13.51282051,Restricted,Species,Limited,Hook & Line,0.169955478,1845241.958,1885021.938,0.021513193,0.208306601,199,79.47913036,0.004547889,FP_2016_ZA_01,Ineffective
Pigeon Island,4.71,2003,<20km to next reef,medium,8.718261353,81.2048888,28/04/2017,14.33150685,Indian Ocean,Sri Lanka,Pigeon Island,81,2017,Meekan,8.584761905,8.144230769,1.754936538,0.33450625,13.27884615,29.53846154,0,14.27884615,42.28846154,3293042.139,3359844.853,0.020275097,27.55769231,Closed,Area,Limited,Unknown,0.33450625,3293042.139,3359844.853,0.020275097,222.5679946,767,246.3920065,0.068227466,FP_2017_LK_02,None
Buccoo,5.85,1973,continuous,medium,11.18440733,-60.8373121,5/11/2016,43.8739726,Western Atlantic,Trinidad and Tobago,Buccoo,11,2016,Chapman,13.05479452,5.219178082,0.959698611,2.773316496,3.888888889,40.34722222,1.805555556,14.75,36.95833333,1376114.83,1412930.044,0.026753935,18.63888889,Open,Area,Limited,Hook & Line; Drumline; Longline; Seine; Gllnet; Spear; Trap,2.773898493,1374002.477,1410789.62,0.026773156,0.691844669,77.37313433,4.516163307,0.303237386,FP_2016_TT_04,None
Hawaii,360000,2006,>20km to next reef,high,25.94340302,171.6365295,11/09/2017,11.70136986,Pacific,USA-Pacific,Hawaii,66,2017,Heupel,18.132,8.878612717,2.062013095,0.065906882,16.25595238,18.64880952,1.547619048,0.178571429,63.14880952,130312.4843,145410.3098,0.058922387,16.43452381,Restricted,Species; Bag,Moderate,Hook & Line; Longline; Drumline,0.065912614,142529.2797,159042.5263,0.064446361,0.882138631,294.525,1.413401381,12.09483298,FP_2017_US-P_02,Effective
Sipadan,4,2004,>20km to next reef,low,4.115229166,118.62952,9/12/2015,11.92,Coral Triangle,Malaysia,Semporna South,100,2015,Simpfendorfer,24.5175,8.25,2.407794872,0.217756818,29.87179487,6.205128205,0,29.48717949,31.79487179,1141914.013,1324145.766,0.159574536,28.09649123,Closed,Area,Limited,Spear; Hook & Line,0.217756818,1141914.013,1324145.766,0.159574536,0.295782321,22.57142857,0.322149769,0.001205644,FP_2015_MY_01_SSS_016,Ineffective
Techobanine,74,2009,continuous,medium,-26.6211375,32.91145417,1/06/2017,7.88,Indian Ocean,Mozambique,Southern Mozambique,69,2017,Meekan,19.6125,8.5,2.614771429,0.1865,22,13.125,0.75,13.125,50.25,4062464.998,4503552.103,0.108448269,35.125,Closed,Species; Gear,Extensive,Hook & Line,0.1865,4062464.998,4503552.103,0.108448269,34.20799299,152,63.5737114,0.001024482,FP_2017_ZA_01,Effective
Bird Cay,15.5,2012,>20km to next reef,medium,16.99517614,-77.80689636,9/05/2017,5.35,Western Atlantic,Jamaica,Pedro Bank,7,2017,Chapman,10.72,8.227272727,3.022454545,0.10473346,5,27.5,0.909090909,41.18181818,24.45454545,74385.03462,75563.27949,0.015917409,46.18,Open,Area,Limited,Hook & Line; Drumline; Longline; Seine; Gillnet; Trawl; Spear; Trap,0.10473346,74385.03462,75563.27949,0.015917409,0.059787274,15.64,8.314234262,0.000018844,FP_2017_JM_01,Ineffective
Jardines de la Reina,950,1996,>20km to next reef,high,20.79488311,-78.92016242,21/04/2018,22.3,Western Atlantic,Cuba,Jardines de la Reina,2,2018,Chapman,24.76842105,8.649122807,2.820087719,0.557309998,7.350877193,29.05263158,0.649122807,33.8245614,26.05263158,1203012.065,1197294.375,-0.005786781,41.1754386,Closed,Area,Extensive,None,0.557309998,1203012.065,1197294.375,-0.005786781,3.370466693,33.49152542,18.40497248,0.010494079,FP_2018_CU_01,Ineffective
Ngeruangel,35,1996,<20km to next reef,high,8.173625874,134.6293075,31/05/2016,20.4,Pacific,Palau,Palau North,88,2016,Heupel,16.85747126,8.597701149,1.461485882,0.079551531,24.67058824,17.36470588,3.823529412,2.305882353,47.82352941,17196.88031,20728.69339,0.207711186,26.97647059,Closed,Area,Extensive,None,0.079551531,17196.88031,20728.69339,0.207711186,0.088017144,0.034482759,0.088017144,0.010928826,FP_2016_PW_01,Effective
Oracabessa,0.84,2010,continuous,high,18.41167906,-76.94646864,29/11/2017,7.8,Western Atlantic,Jamaica,Jamaica,7,2017,Chapman,11.8,9,0.7273,0.094974584,0,70,20,0,10,3797151.511,3862187.818,0.017127657,0,Open,NA,Limited,Hook & Line; Drumline; Longline; Seine; Gillnet; Trawl; Spear; Trap,0.094974584,3797151.511,3862187.818,0.017127657,12.71521601,377.8235294,148.1113472,8.434920586,FP_2017_JM_02,Ineffective
Sandals Boscobel,0.99,2010,continuous,high,18.41046466,-76.9845927,30/11/2017,7.8,Western Atlantic,Jamaica,Jamaica,7,2017,Chapman,8.05,9.25,1.522775,0.094974584,27.25,33.75,0,0,38.25,3797151.511,3862187.818,0.017127657,27.25,Open,NA,Limited,Hook & Line; Drumline; Longline; Seine; Gillnet; Trawl; Spear; Trap,0.094974584,3797151.511,3862187.818,0.017127657,12.71521601,377.8235294,148.1113472,8.434920586,FP_2017_JM_02,Ineffective
