set_id,unique_reserve
1625,MNP-23-1164
1626,MNP-23-1164
1627,MNP-23-1164
1628,MNP-23-1164
1629,MNP-23-1164
1630,MNP-23-1164
1631,MNP-23-1164
1632,MNP-23-1164
1633,MNP-23-1164
1634,MNP-23-1164
1635,MNP-23-1164
1636,MNP-23-1164
1637,MNP-23-1164
1638,MNP-23-1164
1639,MNP-23-1164
1640,MNP-23-1164
1641,MNP-23-1164
1642,MNP-23-1164
1644,MNP-23-1164
1645,MNP-23-1164
1646,MNP-23-1164
1648,MNP-23-1164
1649,MNP-23-1164
1650,MNP-23-1164
1651,MNP-23-1164
1652,MNP-23-1164
1653,MNP-23-1164
1654,MNP-23-1164
1655,MNP-23-1164
1656,MNP-23-1164
1657,MNP-23-1164
1658,MNP-23-1164
1659,MNP-23-1164
1660,MNP-23-1164
1661,MNP-23-1164
1662,MNP-23-1164
1663,MNP-23-1164
1664,MNP-23-1164
1665,MNP-23-1164
1666,MNP-23-1164
1667,MNP-23-1164
1668,MNP-23-1164
1669,MNP-23-1164
1670,MNP-23-1164
1671,MNP-23-1164
1672,MNP-23-1164
1673,MNP-23-1164
1674,MNP-23-1164
1675,MNP-23-1164
1676,MNP-23-1164
1677,MNP-23-1164
1678,MNP-23-1164
1679,MNP-23-1164
1680,MNP-23-1164
1681,MNP-23-1164
1682,MNP-23-1164
1683,MNP-23-1164
1684,MNP-23-1164
1685,MNP-23-1164
1686,MNP-23-1164
1687,MNP-23-1164
1689,MNP-23-1164
1690,MNP-23-1164
1691,MNP-23-1164
1692,MNP-23-1164
1693,MNP-23-1164
1694,MNP-23-1164
1695,MNP-23-1164
1696,MNP-23-1164
1697,MNP-23-1164
1698,MNP-23-1164
1699,MNP-23-1164
1700,MNP-23-1164
1701,MNP-23-1164
1702,MNP-23-1164
1703,MNP-23-1164
1704,MNP-23-1164
1705,MNP-23-1164
1706,MNP-23-1164
1707,MNP-23-1164
1708,MNP-23-1164
1709,MNP-23-1164
1710,MNP-23-1164
1711,MNP-23-1164
1712,MNP-23-1164
1713,MNP-23-1164
1714,MNP-23-1164
1715,MNP-23-1164
1716,MNP-23-1164
1717,MNP-23-1164
1718,MNP-23-1164
1719,MNP-23-1164
1720,MNP-23-1164
1721,MNP-23-1164
1998,MNP-13-1019
1999,MNP-13-1019
2000,MNP-13-1019
2001,MNP-13-1019
2002,MNP-13-1019
2003,MNP-13-1019
2004,MNP-13-1019
2005,MNP-13-1019
2006,MNP-13-1019
2007,MNP-13-1019
2008,MNP-13-1019
2009,MNP-13-1019
2010,MNP-13-1019
2012,MNP-13-1019
2014,MNP-13-1019
2015,MNP-13-1019
2016,MNP-13-1019
2017,MNP-13-1019
2018,MNP-13-1019
2019,MNP-13-1019
2020,MNP-13-1019
2021,MNP-13-1019
2022,MNP-13-1019
2023,MNP-13-1019
2024,MNP-13-1019
2025,MNP-13-1019
2026,MNP-13-1019
2027,MNP-13-1019
2028,MNP-13-1019
2029,MNP-13-1019
2030,MNP-13-1019
2031,MNP-13-1019
2032,MNP-13-1019
2033,MNP-13-1019
2034,MNP-13-1019
2035,MNP-13-1019
2036,MNP-13-1019
2037,MNP-13-1019
2038,MNP-13-1019
2039,MNP-13-1019
2040,MNP-13-1019
2041,MNP-13-1019
2042,MNP-13-1019
2043,MNP-13-1019
2044,MNP-13-1019
2045,MNP-13-1019
2046,MNP-13-1019
2047,MNP-13-1019
2048,MNP-13-1019
2049,MNP-13-1019
2050,MNP-13-1019
2052,MNP-13-1019
2053,MNP-13-1019
2054,MNP-13-1019
2055,MNP-13-1019
2056,MNP-13-1019
2057,MNP-13-1019
2058,MNP-13-1019
2059,MNP-13-1019
2060,MNP-13-1019
2061,MNP-13-1019
2062,MNP-13-1019
2063,MNP-13-1019
2064,MNP-13-1019
2065,MNP-13-1019
2066,MNP-13-1019
2067,MNP-13-1019
2068,MNP-13-1019
2069,MNP-13-1019
2071,MNP-13-1019
2072,MNP-13-1019
2073,MNP-13-1019
2074,MNP-13-1019
2075,MNP-13-1019
2077,MNP-13-1019
2078,MNP-13-1019
2079,MNP-13-1019
2080,MNP-13-1019
2081,MNP-13-1019
2082,MNP-13-1019
2083,MNP-13-1019
2084,MNP-13-1019
2085,MNP-13-1019
2086,MNP-13-1019
2087,MNP-13-1019
2088,MNP-13-1019
2089,MNP-11-1004
2090,MNP-11-1004
2091,MNP-11-1004
2092,MNP-11-1004
2093,MNP-11-1004
2094,MNP-11-1004
2095,MNP-11-1004
2096,MNP-11-1004
2097,MNP-11-1004
2098,MNP-11-1004
2099,MNP-11-1004
2100,MNP-11-1004
2101,MNP-11-1004
2102,MNP-11-1004
2103,MNP-11-1004
2104,MNP-11-1004
2105,MNP-11-1004
2106,MNP-11-1004
2107,MNP-11-1004
2108,MNP-11-1004
2109,MNP-11-1004
2110,MNP-11-1004
2111,MNP-11-1004
2112,MNP-11-1004
2113,MNP-11-1004
2114,MNP-11-1004
2115,MNP-11-1004
2116,MNP-11-1004
2117,MNP-11-1004
2118,MNP-11-1004
2119,MNP-11-1004
2120,MNP-11-1004
2121,MNP-11-1004
2122,MNP-11-1004
2123,MNP-11-1004
2124,MNP-11-1004
2125,MNP-11-1004
2126,MNP-11-1004
2127,MNP-11-1004
2128,MNP-11-1004
2129,MNP-11-1004
2130,MNP-11-1004
2131,MNP-11-1004
2132,MNP-11-1004
2133,MNP-11-1004
2134,MNP-11-1004
2135,MNP-11-1004
2136,MNP-11-1004
2137,MNP-11-1004
2138,MNP-11-1004
2139,MNP-11-1004
2140,MNP-11-1004
2141,MNP-11-1004
2142,MNP-11-1004
2143,MNP-11-1004
2144,MNP-11-1004
2145,MNP-11-1004
2146,MNP-11-1004
2147,MNP-11-1004
2148,MNP-11-1004
2149,MNP-18-1084
2150,MNP-18-1084
2151,MNP-18-1084
2152,MNP-18-1084
2153,MNP-18-1084
2154,MNP-18-1084
2155,MNP-18-1084
2156,MNP-18-1084
2157,MNP-18-1084
2158,MNP-18-1084
2159,MNP-18-1084
2160,MNP-18-1084
2161,MNP-18-1084
2162,MNP-18-1084
2163,MNP-18-1084
2164,MNP-18-1084
2165,MNP-18-1084
2166,MNP-18-1084
2167,MNP-18-1084
2168,MNP-18-1084
2169,MNP-18-1084
2170,MNP-18-1084
2171,MNP-18-1084
2172,MNP-18-1084
2173,MNP-18-1084
2174,MNP-18-1084
2175,MNP-18-1084
2176,MNP-18-1084
2177,MNP-18-1084
2178,MNP-18-1084
2179,MNP-18-1084
2180,MNP-18-1084
2181,MNP-18-1084
2182,MNP-18-1084
2183,MNP-18-1084
2184,MNP-18-1084
2185,MNP-18-1084
2186,MNP-18-1084
2187,MNP-18-1084
2188,MNP-18-1084
2189,MNP-18-1084
2190,MNP-18-1084
2191,MNP-18-1084
2192,MNP-18-1084
2193,MNP-18-1084
2194,MNP-18-1084
2195,MNP-18-1084
2196,MNP-18-1084
2197,MNP-18-1084
2198,MNP-18-1084
2199,MNP-18-1084
2200,MNP-18-1084
2201,MNP-18-1084
2202,MNP-18-1084
2203,MNP-18-1084
2204,MNP-18-1084
2205,MNP-18-1084
2206,MNP-18-1084
2207,MNP-18-1084
2208,MNP-18-1084
2209,MNP-18-1084
2210,MNP-18-1084
2211,MNP-18-1084
2213,MNP-18-1084
2214,MNP-18-1084
2215,MNP-18-1084
2216,MNP-18-1084
2217,MNP-18-1081
2218,MNP-18-1081
2219,MNP-18-1081
2220,MNP-18-1081
2221,MNP-18-1081
2222,MNP-18-1081
2223,MNP-18-1081
2224,MNP-18-1081
2225,MNP-18-1081
2226,MNP-18-1081
2227,MNP-18-1081
2228,MNP-18-1081
2229,MNP-18-1081
2230,MNP-18-1081
2231,MNP-18-1081
2232,MNP-18-1081
2233,MNP-18-1081
2234,MNP-18-1081
2235,MNP-18-1081
2236,MNP-18-1081
2238,MNP-18-1081
2239,MNP-18-1081
2240,MNP-18-1081
2241,MNP-18-1081
2243,MNP-18-1081
2245,MNP-18-1081
2246,MNP-18-1081
2247,MNP-18-1081
2248,MNP-18-1081
2249,MNP-18-1081
2250,MNP-18-1081
2251,MNP-18-1081
2252,MNP-18-1081
2253,MNP-18-1081
2254,MNP-18-1081
2255,MNP-18-1081
2256,MNP-18-1081
2257,MNP-18-1081
2258,MNP-18-1081
2259,MNP-18-1081
2260,MNP-18-1081
2261,MNP-18-1081
2262,MNP-18-1081
2263,MNP-18-1081
2264,MNP-18-1081
2265,MNP-18-1081
2266,MNP-18-1081
2267,MNP-18-1081
2268,MNP-18-1081
2269,MNP-18-1081
2270,MNP-18-1081
2271,MNP-18-1081
2272,MNP-18-1081
2274,MNP-18-1081
2275,MNP-18-1081
2276,MNP-18-1081
2277,MNP-18-1081
2278,MNP-18-1081
2279,MNP-18-1081
2280,MNP-18-1081
2281,MNP-18-1081
2282,MNP-18-1081
2283,MNP-18-1081
2284,MNP-18-1081
2285,MNP-18-1081
2286,MNP-18-1081
2287,MNP-18-1081
2288,MNP-18-1081
2289,MNP-18-1081
2291,MNP-18-1081
2292,MNP-18-1081
2293,MNP-18-1081
2294,MNP-18-1081
2295,MNP-18-1081
2296,MNP-18-1081
2297,MNP-18-1081
2298,MNP-18-1081
2299,MNP-18-1081
2300,MNP-18-1081
2301,MNP-18-1081
2302,MNP-18-1081
2303,MNP-18-1081
2304,MNP-18-1081
2307,MNP-18-1081
2308,MNP-18-1081
2309,MNP-18-1081
2310,MNP-18-1081
2311,MNP-18-1081
2312,MNP-18-1081
2313,MNP-18-1081
2314,MNP-18-1081
2315,MNP-18-1081
2316,MNP-18-1081
2317,MNP-18-1081
2318,MNP-18-1081
2319,MNP-18-1081
2320,MNP-18-1081
2321,MNP-18-1081
2958,Exuma Cays
2960,Exuma Cays
2961,Exuma Cays
2962,Exuma Cays
2963,Exuma Cays
2964,Exuma Cays
2965,Exuma Cays
2966,Exuma Cays
2967,Exuma Cays
2968,Exuma Cays
2970,Exuma Cays
2971,Exuma Cays
2972,Exuma Cays
2973,Exuma Cays
2974,Exuma Cays
2975,Exuma Cays
2976,Exuma Cays
2977,Exuma Cays
2978,Exuma Cays
2979,Exuma Cays
2980,Exuma Cays
2981,Exuma Cays
2982,Exuma Cays
2983,Exuma Cays
2984,Exuma Cays
2986,Exuma Cays
2987,Exuma Cays
2988,Exuma Cays
2989,Exuma Cays
2990,Exuma Cays
2991,Exuma Cays
2992,Exuma Cays
2993,Exuma Cays
2994,Exuma Cays
2995,Exuma Cays
2996,Exuma Cays
2997,Exuma Cays
2998,Exuma Cays
2999,Exuma Cays
3000,Exuma Cays
3001,Exuma Cays
3002,Exuma Cays
3003,Exuma Cays
3004,Exuma Cays
3005,Exuma Cays
3006,Exuma Cays
3007,Exuma Cays
3008,Exuma Cays
3009,Exuma Cays
3010,Exuma Cays
3011,Exuma Cays
3012,Exuma Cays
3013,Exuma Cays
3014,Exuma Cays
3015,Exuma Cays
3016,Exuma Cays
3017,Exuma Cays
3018,Exuma Cays
3019,Exuma Cays
3020,Exuma Cays
3021,Exuma Cays
3022,Exuma Cays
3023,Exuma Cays
3024,Exuma Cays
3025,Exuma Cays
3026,Exuma Cays
3027,Exuma Cays
3028,Exuma Cays
3029,Exuma Cays
3030,Exuma Cays
3031,Exuma Cays
3032,Exuma Cays
3033,Exuma Cays
3034,Exuma Cays
3035,Exuma Cays
3036,Exuma Cays
3037,Exuma Cays
3038,Exuma Cays
3039,Exuma Cays
3040,Exuma Cays
3041,Exuma Cays
3042,Exuma Cays
3043,Exuma Cays
3044,Exuma Cays
3045,Exuma Cays
3046,Exuma Cays
3047,Exuma Cays
3048,Exuma Cays
3049,Exuma Cays
3050,Exuma Cays
3051,Exuma Cays
3052,Exuma Cays
3053,Exuma Cays
3097,Halfmoon Cay
3098,Halfmoon Cay
3099,Halfmoon Cay
3100,Halfmoon Cay
3101,Halfmoon Cay
3102,Halfmoon Cay
3103,Halfmoon Cay
3104,Halfmoon Cay
3105,Halfmoon Cay
3106,Halfmoon Cay
3107,Halfmoon Cay
3108,Halfmoon Cay
3109,Halfmoon Cay
3110,Halfmoon Cay
3111,Halfmoon Cay
3112,Halfmoon Cay
3113,Halfmoon Cay
3114,Halfmoon Cay
3115,Halfmoon Cay
3116,Halfmoon Cay
3117,Halfmoon Cay
3118,Halfmoon Cay
3119,Halfmoon Cay
3120,Halfmoon Cay
3121,Halfmoon Cay
3122,Halfmoon Cay
3123,Halfmoon Cay
3124,Halfmoon Cay
3125,Halfmoon Cay
3126,Halfmoon Cay
3127,Halfmoon Cay
3129,Halfmoon Cay
3130,Halfmoon Cay
3131,Halfmoon Cay
3132,Halfmoon Cay
3133,Halfmoon Cay
3134,Halfmoon Cay
3135,Halfmoon Cay
3136,Halfmoon Cay
3137,Halfmoon Cay
3140,Halfmoon Cay
3141,Halfmoon Cay
3142,Halfmoon Cay
3143,Halfmoon Cay
3144,Halfmoon Cay
3145,Halfmoon Cay
3148,Halfmoon Cay
3149,Halfmoon Cay
3150,Halfmoon Cay
3151,Halfmoon Cay
3152,Halfmoon Cay
3153,Halfmoon Cay
3155,Halfmoon Cay
3156,Halfmoon Cay
3157,Halfmoon Cay
3158,Halfmoon Cay
3159,Halfmoon Cay
3160,Halfmoon Cay
3161,Halfmoon Cay
3162,Halfmoon Cay
3163,Halfmoon Cay
3164,Halfmoon Cay
3165,Halfmoon Cay
4864,Namena
4865,Namena
4866,Namena
4867,Namena
4868,Namena
4869,Namena
4870,Namena
4871,Namena
4872,Namena
4873,Namena
4874,Namena
4875,Namena
4876,Namena
4877,Namena
4878,Namena
4879,Namena
4880,Namena
4881,Namena
4882,Namena
4883,Namena
4884,Namena
4885,Namena
4886,Namena
5608,Corals Rosario and San Bernardo
5609,Corals Rosario and San Bernardo
5610,Corals Rosario and San Bernardo
5611,Corals Rosario and San Bernardo
5612,Corals Rosario and San Bernardo
5613,Corals Rosario and San Bernardo
5614,Corals Rosario and San Bernardo
5615,Corals Rosario and San Bernardo
5616,Corals Rosario and San Bernardo
